MAE,RMSE,R2
798637870926781.1,8353672959881887.0,-2.3815801538493993e+19
277518.1054517392,803956.3448943278,0.77941539508865
266474.2523708705,770586.7949011747,0.7973468355586575
227210.92424242425,869710.6310018938,0.7418573154415118
171660.6360994709,663951.5552900642,0.8495531670639259
268349.7060518603,700248.7805105264,0.8326541344935802
